Iteration:   (2/5)
Sample size: 100
Accuracy:    0.34
GLEU:        0.56
Time:        34.25s

===

Source	Target	Translation	Accuracy	GLEU
That boy showed no fear.	Den dreng viste ingen frygt.	Jeg får den fornemmelse at ingen MISSING END? "den fornemmelse at ingen her"	False	0.021739130434782608
He whistled for his dog.	Han fløjtede efter sin hund.	Tom købte noget legetøj til sine MISSING END? "noget legetøj til sine børn."	False	0.0
Tom disappeared without leaving a trace.	Tom forsvandt uden at efterlade sig et spor.	Tom forsvandt uden at efterlade sig	False	0.6923076923076923
I think she is sick.	Jeg tror hun er syg.	tror, Tom kan hjælpe dig.	False	0.0
Does Tom ever wear a tie?	Går Tom nogensinde med slips?	Går Tom nogensinde med hat?	False	0.7142857142857143
Tom put his career on the back burner and became a house husband, to enable Mary to pursue her career.	Tom satte sin egen karriere i anden række og blev hjemmegående for at gøre det muligt for Mary at gå videre med sin karriere.	Tom satte sin karriere på vågeblus og blev hjemmegående for at gøre det muligt for Mary at fortsætte sin karriere.	False	0.5333333333333333
Tom talks like a girl.	Tom taler som en pige.	Mary er en enerådig pige.	False	0.14285714285714285
Would you like a cookie?	Vil du have en småkage?	mere vil du gerne se?	False	0.07142857142857142
I believe you can help us.	Jeg tror I kan hjælpe os.	Jeg tror du kan hjælpe os.	False	0.5
I hope you're not alone.	Jeg håber at I ikke er alene.		False	0.0
How did you become interested in studying languages?	Hvornår begyndte du at interessere dig for at lære sprog?	Hvornår begyndte du at interessere dig for at	False	0.7647058823529411
It will be dark soon.	Det er snart mørkt.	ikke forventet at være her så	False	0.0
Tom was wearing jeans and a T-shirt.	Tom havde jeans og T-shirt på.	Tom havde cowboybukser og T-shirt på.	False	0.5
Tom is a heroin addict.	Tom er afhængig af heroin.	Tom er min ven.	False	0.21428571428571427
I'm playing with my cat.	Jeg leger med min kat.	Jeg sammenlignede min bil med hans.	False	0.16666666666666666
I hate being a preacher's son.	Jeg hader at være søn af en prædikant.	Jeg hader at være søn af	False	0.6923076923076923
