Iteration:   (3/5)
Sample size: 100
Accuracy:    0.37
GLEU:        0.58
Time:        33.76s

===

Source	Target	Translation	Accuracy	GLEU
I knew that Tom was a bit under the weather.	Jeg vidste at Tom var lidt småsløj.	Jeg vidste at Tom var genert.	False	0.6363636363636364
Tom ran through the woods.	Tom løb gennem skoven.	Jakken er slidt igennem på albuerne.	False	0.0
Would you like something to drink?	Kunne du tænke dig noget at drikke?	Kunne du tænke dig noget at	False	0.8181818181818182
I'd prefer to not talk about that here.	Jeg vil helst ikke at tale om det, her.	Jeg vil helst ikke at tale om det,	False	0.8666666666666667
My TV has quit working.	Mit tv er holdt op med at virke.		False	0.0
She does nothing but cry.	Hun gør ikke andet end at græde.		False	0.0
Tom left Australia three years ago.	Tom forlod Australien for tre år siden.	Tom forlod Australien for tre år	False	0.8181818181818182
I'm proud to be Canadian.	Jeg er stolt over at være canadisk.	er stolt over at tage del MISSING END? "over at tage del i"	False	0.21739130434782608
Tom and Mary bought their grandson a bike for Christmas.	Tom og Mary købte en cykel til deres barnebarn i julegave.	Tom og Mary købte deres drømmehus.	False	0.2894736842105263
It's Tom's thirtieth birthday tomorrow.	Det er Toms trediveårsfødselsdag i morgen.	Tom du skal være vred i MISSING END? "Det er helt klart Toms"	False	0.043478260869565216
I wish the rainy season would end soon.	Gid regntiden snart vil ende!	Jeg beholdt de 20 dollar jeg æbleskroget.	False	0.0
This statue is made of solid gold.	Denne statue er lavet af massivt guld.	til denne bog er stadig ung.	False	0.045454545454545456
Tom didn't know for certain what time he should arrive.	Tom vidste ikke med sikkerhed hvornår han skulle ankomme.	Tom vidste ikke med sikkerhed hvilken tid han skulle ankomme.	False	0.5882352941176471
Tom plans to hire someone who speaks French.	Tom har planer om at hyre en, som snakker fransk.	Tom har planer om at hyre en, som	False	0.7647058823529411
Is his father a doctor?	Er hans far læge?	Er Tom stadig i skole?	False	0.07142857142857142
I didn't get an invitation.	Jeg fik ikke en invitation.	tror, nogen har spædet punchen du har	False	0.0
He's here to spy on us.	Han er her for at udspionere os.	Han er her for at udspionere	False	0.8181818181818182
I stayed indoors because it rained.	Jeg opholdt mig indendørs fordi det regnede.	Jeg opholdt mig indendørs fordi det	False	0.8181818181818182
I'm trying to lose weight.	Jeg prøver på at tabe mig.	vil ikke miste denne paraply.	False	0.0
Do you want to be rich?	Ønsker I at være rige?	Ønsker du at være rig?	False	0.2857142857142857
I don't want to go anywhere tonight.	Jeg ønsker ikke at gå nogen steder i aften.	Jeg vil ikke gå i skole.	False	0.13333333333333333
Organic vegetables are popular because they're safe and tasty.	Økologiske grønsager er populære fordi de er sikre og velsmagende.	Økologiske grønsager er populære fordi de er sikre og	False	0.8823529411764706
What languages are spoken in Australia?	Hvilke sprog tales der i Australien?	Hvilke sprog tales i Amerika?	False	0.3888888888888889
Can you recommend any vegetarian dishes?	Kan du anbefale nogen vegetarretter?	Kan I anbefale nogen vegetarretter?	False	0.5
Let's get to the library before it closes.	Lad os komme hen til biblioteket inden det lukker.	Lad os komme hen til biblioteket inden det	False	0.8666666666666667
I tried to save you.	Jeg forsøgte at redde dig.	Jeg ønsker mig en tiger hjælpe dig.	False	0.09090909090909091
The problem's not on our end.	Problemet er ikke her.	Problemet er ikke hos os.	False	0.42857142857142855
There used to be a small shrine around here.	Der plejede at være en lille helligdom heromkring.	Jeg har tidligere været tjener.	False	0.0
He is living in Tokyo.	Han bor i Tokyo.	mand bor nu i Tokyo.	False	0.2857142857142857
I went for a walk early in the morning.	Jeg gik en tur tidligt om morgenen.	Jeg gik en tur i parken.	False	0.45454545454545453
Recently the demand for this product has increased faster than the supply.	I den seneste tid er efterspørgslen efter dette produkt steget hurtigere end udbuddet.	I den seneste tid er efterspørgslen efter dette produkt steget hurtigere end	False	0.9130434782608695
I'm at the airport now.	Jeg er i lufthavnen nu.	Jeg er en gammel mand biblioteket.	False	0.16666666666666666
We perform eighty percent of our actions unconsciously.	Vi udfører 80 procent af vores handlinger ubevidst.	80 procent af vores handlinger udfører vi ubevidst.	False	0.6153846153846154
You need to improve your kissing technique.	Du er nødt til at forbedre din kysseteknik.	Du er nødt til at forbedre din	False	0.8461538461538461
I want you to stay.	Jeg vil gerne have dig til at blive.	vil gerne lære at cykle.	False	0.15384615384615385
The heavy rain kept us from going out.	Det kraftige regnvejr forhindrede os i at gå ud.	Den kraftige regn forhindrede os i at gå	False	0.5
Having done my homework, I had a chat with Mom.	Efter at jeg havde lavet lektier, fik jeg en snak med mor.	Efter at jeg havde lavet lektier, så	False	0.42857142857142855
I always just took it for granted that you would be there for me.	Jeg har altid bare taget det for givet at du ville være der for mig.	Jeg har altid bare taget det for givet at folk er ærlige.	False	0.5555555555555556
