Iteration:   (4/5)
Sample size: 100
Accuracy:    0.38
GLEU:        0.57
Time:        31.55s

===

Source	Target	Translation	Accuracy	GLEU
This metal is called zinc.	Dette metal kaldes zink.	Hvor mange æg er der?	False	0.0
Tom was released from prison on October twentieth.	Tom blev løsladt fra fængslet tyvende oktober.	Tom blev løsladt fra fængslet den 20.	False	0.6363636363636364
He is good for nothing.	Han duer ikke.	en god grund til at sige	False	0.0
Can't we just flip a coin?	Kan vi ikke bare slå plat eller krone?	Kan vi ikke bare slå plat	False	0.6923076923076923
Tom blushed like a schoolgirl.	Tom rødmede som en skolepige.	ville overraske mig hvis det tænke mig	False	0.0
It looks like rain today.	Det ser ud til regn i dag.	Jeg håber ikke at det regner	False	0.0
I'm busy with my homework.	Jeg er ved at lave mine hjemmeopgaver.	er en form for energi.	False	0.045454545454545456
Come on, let's get breakfast.	Kom nu, lad os få morgenmad.	Lad os komme til sagen.	False	0.05555555555555555
Let's go get a Christmas tree.	Lad os få fat i et juletræ.	Lad os få fat i et MISSING END? "Lad os få en snak"	False	0.391304347826087
I have a week to do my homework.	Jeg har en uge til at lave mine lektier.	Jeg har en uge til at lave mine	False	0.8666666666666667
It's Tom's 30th birthday tomorrow.	Det er Toms trediveårsfødselsdag i morgen.	at bede ham om hjælp.	False	0.0
I was just about to say the same thing.	Jeg skulle lige til at sige det samme.	Jeg skulle lige til at sige det det samme.	False	0.8
We can't trust what she says.	Vi kan ikke stole på hvad hun siger.	Vi kan ikke stole på hvad	False	0.6923076923076923
Now it's time to say good night.	Nu er det tid til at sige godnat.	Nu er det tid til at sige MISSING END? "Selvfølgelig kan hun tale engelsk."	False	0.44
He didn't like being poor.	Han kunne ikke lide at være fattig.		False	0.0
The company was founded in 1974.	Virksomheden blev grundlagt i 1974.	Tom vil gerne være simultantolk.	False	0.0
The importance of music is underrated.	Musikkens betydning undervurderes.	Thai er Thailands officielle sprog.	False	0.0
I've been called worse things by better people.	Jeg er blevet kaldt værre ting af bedre mennesker.	Jeg er blevet kaldt værre ting af bedre	False	0.8666666666666667
There are several ways we could attack this problem.	Der er flere måder, vi kan angribe dette problem på.	Der er flere måder, vi kan angribe dette problem	False	0.8823529411764706
I'm pretty sure Tom's plan isn't going to work.	Jeg er ret sikker på at Toms plan ikke kommer til at virke.	Jeg er ret sikker på at Toms plan ikke	False	0.6521739130434783
I'm drinking a beer right now.	Jeg sidder lige nu og drikker en øl.	Jeg sidder lige nu og drikker	False	0.6923076923076923
I just got kicked out of school.	Jeg er lige blevet smidt ud af skolen.	Jeg er lige blevet smidt ud af	False	0.8461538461538461
I don't think that's a real word.	Jeg tror ikke, at det er et rigtigt ord.	Jeg tror ikke, at det er et MISSING END? "Jeg forstår slet ikke fransk."	False	0.44
I bought a new phone.	Jeg købte en ny telefon.	at Tom har købt en ny MISSING END? "har købt en ny bil?"	False	0.06521739130434782
My favorite subject is biology.	Mit yndlingsfag er biologi.	Hans yndlingsbaseballhold er Giants, men han MISSING END? "er Giants, men han kan"	False	0.021739130434782608
Are you hiding something from me?	Skjuler du noget for mig?	Er der noget du ikke fortæller	False	0.1111111111111111
I'd like to borrow about three hundred thousand dollars.	Jeg vil gerne låne omkring tre hundrede tusinde dollar.	Jeg vil gerne låne cirka tre hundrede dollars.	False	0.43333333333333335
He went abroad to study English.	Han tog til udlandet for at lære engelsk.	Han tog til udlandet for at	False	0.6923076923076923
Tom is in a bad mood.	Tom er i dårligt humør.	Han er i dårligt humør.	False	0.7142857142857143
You can't know that for sure.	Du kan ikke vide det med sikkerhed.	Du kan ikke vide det med	False	0.8181818181818182
She has flowers in her hand.	Hun har blomster i sin hånd.	Mary har blomster i sit hår.	False	0.3333333333333333
Tom got on the train.	Tom kom på toget.	Tom må have mistet forstanden.	False	0.07142857142857142
Tom took the watch apart.	Tom skilte uret ad.	Tom tog Mary til hospitalet.	False	0.07142857142857142
They were sunbathing on the beach.	De solbadede på stranden.	De tog solbad på stranden.	False	0.2857142857142857
I'll take the cheaper one.	Jeg tager den billigste af de to.	Det er et interessant spørgsmål.	False	0.0
I'll just have one or two beers.	Jeg skal kun have en eller to øl.	Jeg skal kun have en eller to MISSING END? "Jeg vil betale med rejsecheck."	False	0.44
French is my mother tongue.	Fransk er mit modersmål.	har hans navn på tungen.	False	0.0
A new branch will be opened in Chicago next month.	En ny filial åbner næste måned i Chicago.	En ny filial åbner i Chicago i næste måned.	False	0.4
He does not believe in evolution.	Han tror ikke på udviklingslæren.	Han tror ikke på evolutionen.	False	0.7142857142857143
My native language is French.	Mit modersmål er fransk.	lave fejl når du lærer som	False	0.0
She is poor, but she looks happy.	Hun er fattig, men hun ser glad ud.	Hun er fattig, men hun er lykkelig.	False	0.5384615384615384
Do you have a website?	Har du en website?	tjener penge ved at sælge en MISSING END? "du nogensinde pløjet en mark"	False	0.021739130434782608
